pipeline	fitness	fit_time
randomForest(18,'entropy','sqrt',12,12,False,'balanced_subsample')	0.9303683439974296	0.9853835105895996
minMaxScaler();qda(0.9935430415726941)	0.5	0.29074907302856445
kNN(2,'uniform',2)	0.7279341510938621	0.5468261241912842
minMaxScaler();randomOverSampler('not majority');passiveAggressiveClassifier(True,'hinge',0.7696769233615699)	0.909636863324289	0.3309001922607422
bernoulliNB(1.505733687781938,False)	0.8767823402962005	0.20202040672302246
qda(0.7288404975962923)	0.7304041202850791	0.26154398918151855
randomUnderSampler('not majority',False);minMaxScaler();varianceThreshold();adaBoost(46,0.023371504633890244,'SAMME',5)	0.8079395146857717	1.7000105381011963
maxAbsScaler();maxAbsScaler();decisionTree('gini',0.7069162336894226,8,0.6265900851958079,15,'balanced')	invalid_ind	invalid_ind
randomOverSampler('not minority');lda(0.19064305910167811,219,0.00015822712516803784)	invalid_ind	invalid_ind
smoteTomek('minority');bernoulliNB(0.10286472363063233,True)	0.8566362621655953	0.9222292900085449
qda(0.5725067754107345)	0.763119553003485	0.28731775283813477
simpleImputer('median');smote('not majority',2);normalizer('max');decisionTree('gini',1.8631326091006168,4,0.9657737950039332,17,'None')	0.779808036322643	0.41947317123413086
pca(0.7859117038034326,True);rbfSampler(0.06390367953156907,75);gaussianNB(2.9119186963333185e-09)	0.5856475724410757	0.43933796882629395
fastICA(9,'deflation',False,'exp');randomUnderSampler('minority',False);pca(0.9869385617841194,True);logisticRegression('l2',True,14.096122742000226,'None')	invalid_ind	invalid_ind
randomForest(53,'gini','sqrt',11,10,False,'None')	0.9272562279363706	1.661747694015503
multinomialNB(0.9999588255190095,True)	0.786375014380053	0.19706106185913086
varianceThreshold();multinomialNB(99.14120826350836,True)	0.7607058427458542	0.19905924797058105
rbfSampler(0.025216264922572545,51);minMaxScaler();passiveAggressiveClassifier(True,'hinge',7.46648322951792e-05)	0.5	0.32425999641418457
knnImputer('median','uniform',8);linearSvc('l2','squared_hinge',True,0.00013166352989844423,0.0003556538216376541,'balanced')	0.8805338922777064	1.5092651844024658
smote('not majority',2);minMaxScaler();qda(0.5468527450605734)	0.7297763843534992	0.45005249977111816
extraTreesClassifier(51,'entropy','log2',18,19,False,'None')	0.71730030129356	0.755129337310791
lda(0.05066508464227448,15,3.852017137351399e-05)	invalid_ind	invalid_ind
varianceThreshold();robustScaler(True,False);extraTreesClassifier(45,'entropy','sqrt',5,1,False,'None')	0.9485921575444289	1.408327579498291
varianceThreshold();qda(0.49975745789808235)	0.7863057628219456	0.3029494285583496
pca(0.9144009303472067,False);adaBoost(85,0.8166918011754508,'SAMME',10)	0.6875300224650301	1.571162462234497
minMaxScaler();standardScaler(False,True);passiveAggressiveClassifier(True,'squared_hinge',0.003750603866769089)	0.907752561996014	0.3123908042907715
randomOverSampler('not majority');maxAbsScaler();selectPercentile(28.31004112577202);qda(0.2218908144527063)	0.7351733567656922	0.2759742736816406
normalizer('l2');randomForest(92,'entropy','log2',5,1,True,'None')	0.9338507736487127	3.9677960872650146
selectPercentile(22.204598273372373);kNN(9,'uniform',2)	0.7465409968386142	0.4631330966949463
knnImputer('mean','uniform',10);varianceThreshold();varianceThreshold();passiveAggressiveClassifier(False,'hinge',0.27604811245579225)	invalid_ind	invalid_ind
randomUnderSampler('not majority',False);varianceThreshold();varianceThreshold();decisionTree('entropy',1.5463395265669093,13,0.4827940946987822,3,'balanced')	invalid_ind	invalid_ind
truncatedSVD(98,'arpack');logisticRegression('l2',True,0.013598002682457826,'None')	invalid_ind	invalid_ind
linearSvc('l2','hinge',True,4.0297625402356175e-05,0.03352967503389113,'balanced')	0.8829070321926921	1.2513267993927002
randomOverSampler('not majority');passiveAggressiveClassifier(False,'squared_hinge',0.0001978185605439674)	0.725438365317671	0.3265228271484375
featureAgglomeration(21,'manhattan','average');minMaxScaler();mlpClassifier(0.00035584374501125056,0.024689418425158025,'sgd','logistic')	0.812446570550272	22.981226444244385
minMaxScaler();minMaxScaler();knnImputer('most_frequent','distance',9);bernoulliNB(16.456152591454323,True)	invalid_ind	invalid_ind
varianceThreshold();randomOverSampler('not minority');maxAbsScaler();extraTreesClassifier(57,'entropy','log2',8,14,True,'balanced_subsample')	0.8828885165902077	1.2973353862762451
decisionTree('entropy',1.3184747411022735,14,0.27780906140515593,17,'None')	0.7819827505895856	0.1866600513458252
pca(0.8736126142363712,False);adaBoost(82,0.6090889736637566,'SAMME.R',9)	0.6867566397932527	1.8984878063201904
logisticRegression('l2',True,0.0036941577708739554,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();decisionTree('gini',0.41022665624838184,4,0.5452465241608012,3,'balanced')	0.5	0.18450188636779785
minMaxScaler();decisionTree('gini',1.8848776339321656,20,0.25310774964924954,8,'balanced')	0.7819827505895856	0.18886065483093262
varianceThreshold();standardScaler(True,True);sgdClassifier('squared_hinge',7.4985214867856795e-06,4.971848349158223e-07,1.7273069847470573e-05,0.023846561470034354,9.433846532617937e-05,0.2456940778717269,True,'None')	0.9127722137303955	0.3770604133605957
