pipeline	fitness	fit_time
varianceThreshold();pca(0.970889853551674,False);linearSvc('l2','squared_hinge',True,0.0014988491649820623,0.001319813831195848,'None')	0.8203186274509804	0.16871953010559082
pca(0.9358792867798169,False);linearSvc('l1','squared_hinge',True,0.0018827640064144587,0.20872314047059273,'None')	invalid_ind	invalid_ind
minMaxScaler();maxAbsScaler();passiveAggressiveClassifier(True,'hinge',0.15239797023104498)	0.7887745098039216	0.14704489707946777
maxAbsScaler();maxAbsScaler();qda(0.38327736205445095)	invalid_ind	invalid_ind
normalizer('l1');selectFwe(0.043606861498598506);linearSvc('l1','hinge',False,0.0005445617027502769,0.001558365952422846,'balanced')	invalid_ind	invalid_ind
randomOverSampler('minority');qda(0.4152152953805186)	0.7448529411764706	0.15392613410949707
varianceThreshold();selectPercentile(45.57549248588843);varianceThreshold();lda(0.02443741492763296,54,7.421931714032335e-05)	invalid_ind	invalid_ind
varianceThreshold();lda(0.20826786527048669,188,0.0032794717332439998)	invalid_ind	invalid_ind
maxAbsScaler();varianceThreshold();extraTreesClassifier(14,'gini','log2',12,16,True,'balanced')	0.8074019607843137	0.3061535358428955
simpleImputer('median');extraTreesClassifier(57,'gini','log2',3,15,False,'balanced')	0.864779411764706	0.6571507453918457
varianceThreshold();bernoulliNB(7.649628894027256,False)	0.835	0.14327716827392578
randomUnderSampler('not majority',False);pca(0.5178528913668725,True);randomOverSampler('minority');extraTreesClassifier(17,'entropy','log2',4,18,True,'None')	0.7399019607843138	0.3556380271911621
minMaxScaler();nystroem('poly',1.3860580959408617,86,5,0.8051833112890194);kNN(4,'uniform',2)	0.8223039215686274	0.4564838409423828
minMaxScaler();minMaxScaler();gaussianNB(0.0007786304965096786)	invalid_ind	invalid_ind
varianceThreshold();maxAbsScaler();varianceThreshold();linearSvc('l2','squared_hinge',True,0.008278975934825525,0.00469794417694155,'None')	invalid_ind	invalid_ind
normalizer('l1');maxAbsScaler();minMaxScaler();multinomialNB(2.1165005559812364,False)	0.6626960784313726	0.1483292579650879
robustScaler(True,True);extraTreesClassifier(42,'entropy','sqrt',2,4,True,'None')	0.8653676470588236	0.6427004337310791
randomOverSampler('not majority');fastICA(38,'deflation',False,'cube');adaBoost(95,0.08746894477410973,'SAMME.R',2)	0.8632107843137256	3.29020357131958
minMaxScaler();standardScaler(False,True);minMaxScaler();mlpClassifier(0.02092571912979601,0.0027673174770950935,'adam','relu')	invalid_ind	invalid_ind
lda(0.7253936137686283,105,0.04759664256740891)	invalid_ind	invalid_ind
randomOverSampler('not majority');pca(0.7530502018606946,False);standardScaler(True,True);decisionTree('entropy',0.45324105495292355,5,0.9542048301452922,2,'balanced')	0.5	0.17417502403259277
passiveAggressiveClassifier(True,'squared_hinge',0.018565810497239862)	0.818921568627451	0.14084625244140625
mlpClassifier(0.0003116257841847571,0.42491243199897294,'sgd','tanh')	0.8352205882352941	2.064776659011841
maxAbsScaler();robustScaler(False,True);normalizer('max');kNN(6,'distance',2)	0.8385539215686274	0.2019941806793213
minMaxScaler();featureAgglomeration(16,'cosine','average');minMaxScaler();bernoulliNB(0.028948447311004415,True)	invalid_ind	invalid_ind
minMaxScaler();varianceThreshold();minMaxScaler();randomForest(50,'entropy','sqrt',15,6,True,'balanced_subsample')	invalid_ind	invalid_ind
minMaxScaler();decisionTree('entropy',0.09055719076800006,9,0.5447396457956719,18,'None')	0.5	0.13293838500976562
linearSvc('l1','hinge',False,0.09037039579087101,0.00013797793971832812,'balanced')	invalid_ind	invalid_ind
selectPercentile(15.3082022061656);minMaxScaler();varianceThreshold();qda(0.007591393537757951)	0.8639705882352942	0.14698338508605957
simpleImputer('mean');varianceThreshold();minMaxScaler();adaBoost(76,0.2263894368824807,'SAMME.R',5)	0.9153431372549019	1.200103759765625
featureAgglomeration(12,'cosine','complete');mlpClassifier(0.045778796009096276,0.017226110978294448,'sgd','identity')	0.7865931372549019	1.2462453842163086
varianceThreshold();minMaxScaler();qda(0.7159507874898796)	0.5779411764705882	0.14055705070495605
maxAbsScaler();extraTreesClassifier(82,'entropy','sqrt',14,15,True,'balanced')	0.8320833333333333	0.9880313873291016
varianceThreshold();varianceThreshold();varianceThreshold();kNN(6,'distance',1)	invalid_ind	invalid_ind
randomOverSampler('not minority');randomUnderSampler('not majority',True);maxAbsScaler();extraTreesClassifier(30,'gini','sqrt',2,17,True,'balanced')	0.7430882352941177	0.4775214195251465
truncatedSVD(142,'randomized');featureAgglomeration(15,'manhattan','ward');minMaxScaler();passiveAggressiveClassifier(False,'hinge',0.2008396888631035)	invalid_ind	invalid_ind
minMaxScaler();minMaxScaler();linearSvc('l2','squared_hinge',True,1.2145484600561752e-05,5.418029122398675,'None')	invalid_ind	invalid_ind
robustScaler(True,True);nystroem('cosine',0.0003059861712378396,20,2,0.03705069512962944);minMaxScaler();mlpClassifier(0.05384678106038517,0.06391496932435,'sgd','identity')	0.7451960784313725	1.3358569145202637
decisionTree('gini',0.7981381013064286,12,0.6060185180964308,3,'balanced')	0.5	0.1298685073852539
knnImputer('most_frequent','distance',5);maxAbsScaler();mlpClassifier(0.029171179050138753,0.044953323273504764,'lbfgs','relu')	0.8428676470588234	2.296543836593628
featureAgglomeration(8,'euclidean','ward');bernoulliNB(0.7256354427140453,False)	0.6897794117647059	0.2166907787322998
minMaxScaler();minMaxScaler();kNN(9,'distance',1)	invalid_ind	invalid_ind
minMaxScaler();maxAbsScaler();extraTreesClassifier(54,'gini','log2',20,9,True,'balanced_subsample')	0.893578431372549	0.8420970439910889
standardScaler(True,False);varianceThreshold();extraTreesClassifier(63,'gini','log2',6,3,False,'balanced_subsample')	0.903578431372549	0.7222557067871094
kNN(26,'distance',1)	0.7576470588235295	0.14518117904663086
minMaxScaler();maxAbsScaler();logisticRegression('l2',True,0.021076165362227388,'None')	invalid_ind	invalid_ind
minMaxScaler();maxAbsScaler();logisticRegression('l2',True,0.0005095620951505469,'balanced')	invalid_ind	invalid_ind
truncatedSVD(35,'arpack');pca(0.796336323858453,False);decisionTree('entropy',0.6366614517030127,5,0.6268777681751948,20,'balanced')	0.5	0.15181326866149902
robustScaler(True,False);varianceThreshold();randomOverSampler('not minority');linearSvc('l1','hinge',True,0.00010513288852292526,0.08039043546065594,'balanced')	invalid_ind	invalid_ind
smoteTomek('minority');passiveAggressiveClassifier(True,'squared_hinge',5.982410542495071e-05)	0.8203186274509804	0.23467230796813965
minMaxScaler();varianceThreshold();randomForest(82,'entropy','sqrt',11,2,True,'None')	0.8994607843137254	1.2990772724151611
varianceThreshold();extraTreesClassifier(16,'entropy','sqrt',11,12,False,'balanced')	0.8581617647058823	0.3031015396118164
maxAbsScaler();maxAbsScaler();adaBoost(80,0.16973309633222303,'SAMME',2)	invalid_ind	invalid_ind
pca(0.6513279225344666,False);adaBoost(57,1.049980947545022,'SAMME',7)	0.8240196078431372	0.7585361003875732
nystroem('sigmoid',0.032835197321101635,63,2,-0.04141899667754023);normalizer('max');randomUnderSampler('not minority',True);gaussianNB(5.164970757103528e-05)	0.8712254901960785	0.36873817443847656
minMaxScaler();varianceThreshold();smote('not minority',4);multinomialNB(0.022091050988585128,True)	0.5297794117647059	0.1423816680908203
minMaxScaler();minMaxScaler();gaussianNB(0.00027814621613643726)	invalid_ind	invalid_ind
