pipeline	fitness	fit_time
randomForest(18,'entropy','sqrt',12,12,False,'balanced_subsample')	0.35586666666666666	2.679832935333252
minMaxScaler();qda(0.9935430415726941)	0.016133333333333333	6.695990800857544
kNN(2,'uniform',2)	0.229	18.159231662750244
minMaxScaler();randomOverSampler('not majority');passiveAggressiveClassifier(True,'hinge',0.7696769233615699)	0.7565999999999999	65.12075471878052
bernoulliNB(1.505733687781938,False)	0.5090000000000001	2.0037269592285156
qda(0.7288404975962923)	0.05366666666666666	6.22719144821167
randomUnderSampler('not majority',False);minMaxScaler();varianceThreshold();adaBoost(46,0.023371504633890244,'SAMME',5)	0.02	24.292930364608765
maxAbsScaler();maxAbsScaler();decisionTree('gini',0.7069162336894226,8,0.6265900851958079,15,'balanced')	invalid_ind	invalid_ind
randomOverSampler('not minority');lda(0.19064305910167811,219,0.00015822712516803784)	invalid_ind	invalid_ind
smoteTomek('minority');bernoulliNB(0.10286472363063233,True)	0.6557333333333333	59.9679958820343
qda(0.5725067754107345)	0.052000000000000005	6.229450702667236
simpleImputer('median');smote('not majority',2);normalizer('max');decisionTree('gini',1.8631326091006168,4,0.9657737950039332,17,'None')	0.04	10.203494310379028
pca(0.7859117038034326,True);rbfSampler(0.06390367953156907,75);gaussianNB(2.9119186963333185e-09)	0.07146666666666668	14.533794164657593
fastICA(9,'deflation',False,'exp');randomUnderSampler('minority',False);pca(0.9869385617841194,True);logisticRegression('l2',True,14.096122742000226,'None')	invalid_ind	invalid_ind
randomForest(53,'gini','sqrt',11,10,False,'None')	0.6155333333333334	4.966065168380737
multinomialNB(0.9999588255190095,True)	0.6450666666666667	1.1021034717559814
varianceThreshold();multinomialNB(99.14120826350836,True)	0.046200000000000005	2.017472743988037
rbfSampler(0.025216264922572545,51);minMaxScaler();passiveAggressiveClassifier(True,'hinge',7.46648322951792e-05)	0.02213333333333333	1.688744068145752
knnImputer('median','uniform',8);linearSvc('l2','squared_hinge',True,0.00013166352989844423,0.0003556538216376541,'balanced')	0.6698000000000001	83.88567638397217
smote('not majority',2);minMaxScaler();qda(0.5468527450605734)	0.020800000000000003	10.88586950302124
extraTreesClassifier(51,'entropy','log2',18,19,False,'None')	0.263	1.5972332954406738
lda(0.05066508464227448,15,3.852017137351399e-05)	0.12140000000000002	20.14306092262268
varianceThreshold();robustScaler(True,False);extraTreesClassifier(45,'entropy','sqrt',5,1,False,'None')	0.34646666666666665	14.653035163879395
varianceThreshold();qda(0.49975745789808235)	0.0502	7.638911008834839
pca(0.9144009303472067,False);adaBoost(85,0.8166918011754508,'SAMME',10)	0.0638	30.460540294647217
minMaxScaler();standardScaler(False,True);passiveAggressiveClassifier(True,'squared_hinge',0.003750603866769089)	0.7586666666666667	51.38205003738403
randomOverSampler('not majority');maxAbsScaler();selectPercentile(28.31004112577202);qda(0.2218908144527063)	0.029066666666666664	4.777969121932983
normalizer('l2');randomForest(92,'entropy','log2',5,1,True,'None')	0.24666666666666667	13.81995940208435
selectPercentile(22.204598273372373);kNN(9,'uniform',2)	0.2536666666666666	5.242998123168945
knnImputer('mean','uniform',10);varianceThreshold();varianceThreshold();passiveAggressiveClassifier(False,'hinge',0.27604811245579225)	invalid_ind	invalid_ind
randomUnderSampler('not majority',False);varianceThreshold();varianceThreshold();decisionTree('entropy',1.5463395265669093,13,0.4827940946987822,3,'balanced')	invalid_ind	invalid_ind
truncatedSVD(98,'arpack');logisticRegression('l2',True,0.013598002682457826,'None')	invalid_ind	invalid_ind
linearSvc('l2','hinge',True,4.0297625402356175e-05,0.03352967503389113,'balanced')	0.6591333333333333	105.90296411514282
randomOverSampler('not majority');passiveAggressiveClassifier(False,'squared_hinge',0.0001978185605439674)	0.5986	249.2376618385315
featureAgglomeration(21,'manhattan','average');minMaxScaler();mlpClassifier(0.00035584374501125056,0.024689418425158025,'sgd','logistic')	0.0364	206.69209933280945
minMaxScaler();minMaxScaler();knnImputer('most_frequent','distance',9);bernoulliNB(16.456152591454323,True)	invalid_ind	invalid_ind
varianceThreshold();randomOverSampler('not minority');maxAbsScaler();extraTreesClassifier(57,'entropy','log2',8,14,True,'balanced_subsample')	0.253	3.989612102508545
decisionTree('entropy',1.3184747411022735,14,0.27780906140515593,17,'None')	0.0392	1.1118996143341064
pca(0.8736126142363712,False);adaBoost(82,0.6090889736637566,'SAMME.R',9)	0.05033333333333333	26.256231546401978
logisticRegression('l2',True,0.0036941577708739554,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();decisionTree('gini',0.41022665624838184,4,0.5452465241608012,3,'balanced')	0.02	1.3841824531555176
minMaxScaler();decisionTree('gini',1.8848776339321656,20,0.25310774964924954,8,'balanced')	0.04	1.5773539543151855
