pipeline	fitness	fit_time
featureAgglomeration(14,'manhattan','average');lda(0.01999130622418077,69,8.832621516091561e-05)	invalid_ind	invalid_ind
selectFwe(0.030201173216271467);featureAgglomeration(19,'euclidean','complete');mlpClassifier(0.012309754177094751,0.5853015879129175,'sgd','tanh')	invalid_ind	invalid_ind
minMaxScaler();varianceThreshold();minMaxScaler();gaussianNB(0.0003152752605285935)	invalid_ind	invalid_ind
lda(0.9748455287935834,52,3.9853236447960366e-05)	invalid_ind	invalid_ind
minMaxScaler();varianceThreshold();adaBoost(29,0.6172283980569663,'SAMME',3)	0.4459797670882576	0.660818338394165
varianceThreshold();maxAbsScaler();minMaxScaler();smoteTomek('not minority');decisionTree('entropy',1.2958299387462713,16,0.5144826227838115,3,'None')	0.4016342631727247	1.0495274066925049
pca(0.8777400321509028,True);randomOverSampler('not minority');knnImputer('mean','distance',8);gaussianNB(0.00028763156734478996)	0.7170959658387088	0.3003723621368408
smoteTomek('not majority');minMaxScaler();logisticRegression('l2',True,20.52797987953761,'balanced')	invalid_ind	invalid_ind
smoteTomek('not majority');minMaxScaler();maxAbsScaler();kNN(46,'distance',2)	0.6485738239747674	1.9147617816925049
randomForest(97,'entropy','sqrt',5,15,False,'None')	0.6295555116146552	1.2973997592926025
maxAbsScaler();minMaxScaler();decisionTree('entropy',1.4881089084966688,12,0.06610945254604561,4,'None')	0.25	0.21878814697265625
robustScaler(True,True);knnImputer('mean','distance',3);passiveAggressiveClassifier(False,'hinge',0.36553325179379126)	0.6908203721774113	0.329606294631958
rbfSampler(0.002785744549454238,57);mlpClassifier(0.035974359748283335,0.34364334984384215,'sgd','tanh')	0.5374355597232956	3.6603286266326904
standardScaler(False,False);maxAbsScaler();varianceThreshold();adaBoost(33,1.659387839070261,'SAMME.R',7)	0.6968312215119183	0.7224633693695068
