pipeline	fitness	fit_time
randomOverSampler('not majority');selectFwe(0.0011833201262791179);randomOverSampler('minority');multinomialNB(5.393592794196853,False)	invalid_ind	invalid_ind
minMaxScaler();maxAbsScaler();randomForest(55,'gini','sqrt',18,17,False,'balanced')	0.4180242418683632	2.161616325378418
selectPercentile(31.000203555181255);pca(0.5269056871843034,False);rbfSampler(0.027609661590395584,87);mlpClassifier(0.0008238979374785674,0.015080637445306782,'sgd','relu')	0.1828150830726379	20.518121480941772
varianceThreshold();minMaxScaler();gaussianNB(4.5826055267176406e-05)	0.3245834275872196	0.2094566822052002
truncatedSVD(235,'randomized');truncatedSVD(24,'arpack');sgdClassifier('perceptron',0.0008973362326304009,1.391303000680538e-09,0.00011005424289441064,0.001107600267701455,8.564992120724886e-05,0.982604371657156,False,'balanced')	invalid_ind	invalid_ind
selectFwe(0.0090660692920724);sgdClassifier('log',0.009494165646194876,5.709267488854124e-09,3.940439049003888e-05,0.002814601320748469,1.2681206606674672e-06,0.46271867199314853,True,'balanced')	0.1469415937300073	1.9767649173736572
sgdClassifier('squared_hinge',0.033047424265017424,3.7097834237681323e-09,0.0003443522942680713,0.0103630863629143,4.473040795165956e-06,0.8182508787913798,False,'None')	0.1872982577107769	1.0179402828216553
maxAbsScaler();smoteTomek('minority');varianceThreshold();gaussianNB(7.257062463511674e-09)	invalid_ind	invalid_ind
linearSvc('l2','hinge',False,1.7552938935371965e-05,1.2620649067699083,'balanced')	invalid_ind	invalid_ind
varianceThreshold();multinomialNB(69.70802903937508,False)	0.26126790978216907	0.201310396194458
maxAbsScaler();logisticRegression('l1',True,1.110141547875711,'None')	invalid_ind	invalid_ind
varianceThreshold();varianceThreshold();adaBoost(82,1.6043529530385514,'SAMME',2)	invalid_ind	invalid_ind
maxAbsScaler();fastICA(85,'parallel',False,'cube');varianceThreshold();mlpClassifier(0.002706338544083907,0.0641469137118948,'lbfgs','identity')	0.24611778248259544	11.411910057067871
selectPercentile(1.2528726565520507);maxAbsScaler();passiveAggressiveClassifier(False,'hinge',0.0038460780481039676)	0.1476190476190476	0.26949214935302734
knnImputer('mean','uniform',3);standardScaler(True,True);passiveAggressiveClassifier(False,'hinge',1.9592651772028111)	0.12653964800042766	0.3311631679534912
decisionTree('gini',0.8152977767959457,9,0.9266225519931816,3,'balanced')	0.1476190476190476	0.18889117240905762
smote('not minority',4);simpleImputer('mean');passiveAggressiveClassifier(True,'hinge',0.2627903951143095)	0.19943243180006393	0.6401698589324951
extraTreesClassifier(38,'gini','log2',16,20,False,'None')	0.19618266578272667	0.6490757465362549
simpleImputer('mean');normalizer('l1');knnImputer('median','distance',8);kNN(13,'distance',1)	0.2994768542864926	0.32001376152038574
maxAbsScaler();linearSvc('l2','squared_hinge',True,0.029698795061349845,0.0736565978053462,'balanced')	0.2913615454032639	0.6761631965637207
varianceThreshold();pca(0.9074930525646585,True);minMaxScaler();varianceThreshold();gaussianNB(1.7646870233765247e-05)	invalid_ind	invalid_ind
gaussianNB(1.7654648791410543e-07)	0.3164574683613032	0.19587063789367676
normalizer('max');varianceThreshold();selectFwe(0.0020127175011516265);adaBoost(85,0.41782864910310535,'SAMME.R',2)	0.19417602770977732	3.798593521118164
minMaxScaler();varianceThreshold();kNN(14,'uniform',1)	0.24276475241260873	0.779716968536377
rbfSampler(0.0018285544755520626,72);fastICA(70,'parallel',False,'cube');decisionTree('entropy',1.1846570646476162,8,0.5695032247353241,8,'balanced')	0.15333098756744076	2.990605354309082
smoteTomek('not majority');pca(0.6524261211521623,True);sgdClassifier('modified_huber',0.0003212072229344443,2.3855801027256314e-08,0.051472548577337816,2.9155912825975985e-05,0.02341066403557734,0.07156505130535648,False,'None')	invalid_ind	invalid_ind
adaBoost(77,0.01547211348746591,'SAMME',3)	0.18557912806615712	1.927598237991333
minMaxScaler();decisionTree('entropy',1.6638095346319077,14,0.36098169319726003,1,'None')	0.1476190476190476	0.1984567642211914
featureAgglomeration(17,'euclidean','ward');pca(0.9335921742668052,False);linearSvc('l2','hinge',True,3.135608413399814e-05,0.029516965679194762,'balanced')	invalid_ind	invalid_ind
smote('minority',3);logisticRegression('l2',True,0.002735644687333726,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();knnImputer('median','uniform',8);maxAbsScaler();passiveAggressiveClassifier(True,'squared_hinge',0.005725291831598437)	invalid_ind	invalid_ind
maxAbsScaler();minMaxScaler();logisticRegression('l2',True,0.0015205179103792497,'None')	invalid_ind	invalid_ind
nystroem('sigmoid',0.008320512311057238,10,4,0.5886391219601002);maxAbsScaler();truncatedSVD(89,'arpack');gaussianNB(7.454678231523024e-05)	0.1476190476190476	0.33687376976013184
randomUnderSampler('minority',False);robustScaler(False,False);standardScaler(True,True);adaBoost(40,0.04574991523591372,'SAMME',6)	invalid_ind	invalid_ind
minMaxScaler();minMaxScaler();selectFwe(0.0015566941453202315);extraTreesClassifier(33,'gini','sqrt',14,1,False,'balanced_subsample')	invalid_ind	invalid_ind
maxAbsScaler();randomUnderSampler('not majority',False);varianceThreshold();minMaxScaler();mlpClassifier(0.00044011705707039053,0.0028521216623423338,'sgd','tanh')	0.1476190476190476	2.783719301223755
truncatedSVD(19,'arpack');selectFwe(0.0017787823078816067);multinomialNB(0.047677720102659235,False)	invalid_ind	invalid_ind
maxAbsScaler();kNN(27,'uniform',2)	0.23786325632927308	0.6985158920288086
maxAbsScaler();sgdClassifier('perceptron',0.02040163187766405,2.8275794054899348e-05,0.001082267597369242,0.0007985608052064328,0.0005259357155733542,0.14795098165800075,False,'None')	0.2070346032078029	0.2838408946990967
mlpClassifier(0.00044514641861780855,0.09608929769421068,'lbfgs','logistic')	0.21351309999880086	19.387566089630127
varianceThreshold();maxAbsScaler();bernoulliNB(10.154759909088018,False)	0.14975502418032954	0.2137453556060791
varianceThreshold();minMaxScaler();extraTreesClassifier(28,'entropy','sqrt',3,8,True,'balanced_subsample')	0.3689903608266226	0.8341946601867676
decisionTree('gini',0.38472582631925367,4,0.17804404706416754,19,'balanced')	0.1476190476190476	0.19655466079711914
varianceThreshold();minMaxScaler();maxAbsScaler();randomForest(12,'entropy','sqrt',2,4,True,'balanced')	0.35947845831923625	1.062040090560913
extraTreesClassifier(88,'entropy','sqrt',5,20,False,'balanced')	0.3823097489908885	1.3483691215515137
smote('not minority',2);varianceThreshold();passiveAggressiveClassifier(False,'hinge',1.2527049495670804e-05)	0.24279178993370926	0.5592186450958252
smote('not minority',2);randomUnderSampler('not minority',True);pca(0.9657781070329488,False);randomForest(88,'entropy','sqrt',10,14,False,'balanced')	0.13848335572473502	1.0831546783447266
selectPercentile(24.20035607768793);minMaxScaler();lda(0.5086259216745195,164,0.0011408655755286636)	invalid_ind	invalid_ind
smoteTomek('minority');bernoulliNB(3.230785962238863,True)	invalid_ind	invalid_ind
varianceThreshold();varianceThreshold();kNN(24,'distance',1)	invalid_ind	invalid_ind
robustScaler(False,False);nystroem('cosine',0.02252130068601938,15,4,-0.11397049258518588);minMaxScaler();lda(0.08869211237699093,19,0.03199601545313396)	invalid_ind	invalid_ind
randomForest(95,'gini','sqrt',15,2,True,'None')	0.28381728746752083	3.244556188583374
kNN(44,'uniform',1)	0.18357721059195548	0.5418045520782471
rbfSampler(0.031248040958633507,85);selectFwe(0.026249622896048097);pca(0.5524564862436645,False);randomForest(74,'gini','log2',9,9,True,'balanced')	0.2635893565942492	2.33778715133667
selectPercentile(43.8581873713618);randomUnderSampler('not minority',True);varianceThreshold();extraTreesClassifier(67,'gini','sqrt',4,15,False,'None')	0.1476190476190476	0.7603886127471924
smoteTomek('not majority');maxAbsScaler();sgdClassifier('hinge',0.029476580583255994,1.9966076887570383e-07,0.0002115904549084885,4.140271830178362e-05,0.024862943246286982,0.011401776633302716,False,'None')	invalid_ind	invalid_ind
smote('not majority',5);maxAbsScaler();adaBoost(34,1.526006382490699,'SAMME',5)	invalid_ind	invalid_ind
adaBoost(60,0.029756168149120167,'SAMME.R',2)	0.14804128547970913	2.2685070037841797
varianceThreshold();maxAbsScaler();featureAgglomeration(16,'manhattan','ward');minMaxScaler();decisionTree('entropy',0.640713939937847,11,0.7523384530401243,3,'None')	invalid_ind	invalid_ind
qda(0.6661841391556531)	0.3024676331631799	0.2165224552154541
selectPercentile(64.42111926843509);smoteTomek('minority');truncatedSVD(12,'arpack');logisticRegression('l2',False,0.0448925238545551,'balanced')	invalid_ind	invalid_ind
minMaxScaler();simpleImputer('mean');varianceThreshold();mlpClassifier(0.025376546344938484,0.00827563926220562,'sgd','logistic')	0.18686143380792872	25.70503807067871
varianceThreshold();smoteTomek('not minority');logisticRegression('l1',True,0.1019945250177849,'None')	invalid_ind	invalid_ind
truncatedSVD(65,'arpack');minMaxScaler();maxAbsScaler();mlpClassifier(0.011892064373054385,0.0026791691063095414,'lbfgs','tanh')	0.1668717710288245	26.524879932403564
logisticRegression('l1',False,0.0002956623040639249,'None')	invalid_ind	invalid_ind
maxAbsScaler();sgdClassifier('hinge',0.03968989316818791,2.4908606714131184e-05,0.02767032116129565,1.1804413818473912e-05,0.0008105624708465149,0.9162302848894605,False,'None')	0.1922201363252215	0.27201342582702637
rbfSampler(0.0014720327796837436,53);selectPercentile(69.96830343743667);kNN(13,'uniform',2)	0.21084726911355461	0.9510550498962402
maxAbsScaler();maxAbsScaler();logisticRegression('l1',True,0.5146576618928022,'None')	invalid_ind	invalid_ind
varianceThreshold();maxAbsScaler();linearSvc('l2','squared_hinge',True,0.00011422133362409182,7.411002118197225,'balanced')	0.3315941474918197	5.888537883758545
maxAbsScaler();featureAgglomeration(11,'euclidean','complete');linearSvc('l1','squared_hinge',False,0.038138255532471965,0.5302814836689809,'balanced')	0.37019123185200165	4.73841667175293
minMaxScaler();multinomialNB(9.428184156551863,False)	0.28144537224665295	0.20572662353515625
minMaxScaler();maxAbsScaler();smoteTomek('minority');gaussianNB(2.3180908638629435e-06)	invalid_ind	invalid_ind
minMaxScaler();varianceThreshold();extraTreesClassifier(33,'gini','sqrt',17,5,False,'balanced_subsample')	0.4114825652205405	0.7289726734161377
varianceThreshold();simpleImputer('median');minMaxScaler();bernoulliNB(87.32778218101154,False)	0.14773281689750753	0.2454543113708496
minMaxScaler();adaBoost(43,0.8544155604638245,'SAMME',3)	0.20360727413662955	1.1653664112091064
lda(0.6517134697902598,49,0.003962106233731867)	invalid_ind	invalid_ind
randomUnderSampler('minority',True);fastICA(38,'deflation',False,'cube');decisionTree('entropy',0.18943536033787978,17,0.040526182344984285,6,'balanced')	invalid_ind	invalid_ind
sgdClassifier('modified_huber',3.7322251735351336e-06,9.56188226804542e-08,0.004795940916275924,1.9673525758152695e-05,1.6733166710542763e-06,0.029027802758883215,False,'balanced')	0.2130115440114233	0.791426420211792
varianceThreshold();kNN(17,'uniform',2)	0.19508641049231598	0.49678468704223633
varianceThreshold();standardScaler(False,True);varianceThreshold();maxAbsScaler();qda(0.7281341760486262)	invalid_ind	invalid_ind
maxAbsScaler();randomUnderSampler('minority',True);minMaxScaler();passiveAggressiveClassifier(True,'squared_hinge',4.178555960354946)	invalid_ind	invalid_ind
extraTreesClassifier(95,'entropy','log2',15,13,True,'None')	0.19708087272630298	1.5570063591003418
featureAgglomeration(7,'manhattan','ward');smote('not majority',5);qda(0.06926826342968406)	invalid_ind	invalid_ind
minMaxScaler();truncatedSVD(13,'arpack');maxAbsScaler();gaussianNB(0.0022526984612295364)	0.22521758999868796	0.2580244541168213
truncatedSVD(15,'arpack');maxAbsScaler();minMaxScaler();passiveAggressiveClassifier(False,'squared_hinge',0.2767408091762538)	0.15724933174813532	0.3276362419128418
pca(0.7635708457698048,True);maxAbsScaler();featureAgglomeration(5,'euclidean','average');gaussianNB(3.801700095358672e-09)	invalid_ind	invalid_ind
pca(0.9562811479948312,True);mlpClassifier(0.006254932078559739,0.0038255636866794335,'lbfgs','tanh')	0.1775839664317693	27.12960720062256
extraTreesClassifier(47,'gini','log2',17,15,False,'None')	0.20311503664496494	0.7706766128540039
randomUnderSampler('not majority',False);extraTreesClassifier(82,'gini','sqrt',7,6,False,'balanced_subsample')	0.15537393791286272	1.078728437423706
simpleImputer('median');randomUnderSampler('not majority',True);normalizer('max');linearSvc('l1','hinge',False,0.052802530992163706,0.006983375498961913,'balanced')	invalid_ind	invalid_ind
smote('not minority',3);maxAbsScaler();varianceThreshold();multinomialNB(11.486299700734167,True)	0.31578314990820655	0.3390364646911621
bernoulliNB(4.163930118200504,False)	0.14975502418032954	0.20527100563049316
mlpClassifier(0.0002906250093733514,0.009760136510164153,'adam','relu')	0.22130775784197038	5.827371835708618
minMaxScaler();extraTreesClassifier(24,'gini','log2',12,12,False,'None')	0.20610043043316142	0.5109646320343018
featureAgglomeration(16,'euclidean','average');maxAbsScaler();logisticRegression('l2',False,0.18737054057367303,'balanced')	invalid_ind	invalid_ind
minMaxScaler();nystroem('poly',0.587938972080635,51,4,0.12009870065438033);randomForest(24,'gini','sqrt',14,12,False,'None')	0.2773801291878642	3.4539620876312256
nystroem('sigmoid',0.0044912119799407615,97,3,0.9916012351264782);selectFwe(0.04474695110219551);bernoulliNB(0.02509004671787377,True)	invalid_ind	invalid_ind
featureAgglomeration(24,'cosine','ward');linearSvc('l1','hinge',True,0.002091962016675596,0.05012293158229501,'None')	invalid_ind	invalid_ind
pca(0.6981688927457381,False);maxAbsScaler();lda(0.09145656688049497,188,4.519545400324071e-05)	invalid_ind	invalid_ind
minMaxScaler();maxAbsScaler();normalizer('l2');mlpClassifier(0.0004125777019538473,0.0026183714730620687,'sgd','relu')	0.20318693919363148	18.032853603363037
maxAbsScaler();maxAbsScaler();linearSvc('l2','squared_hinge',True,0.00011422133362409182,7.411002118197225,'balanced')	invalid_ind	invalid_ind
smoteTomek('not minority');pca(0.6524261211521623,True);sgdClassifier('modified_huber',0.0003212072229344443,2.3855801027256314e-08,0.051472548577337816,2.9155912825975985e-05,0.02341066403557734,0.07156505130535648,False,'None')	0.19045870914507304	0.9676711559295654
rbfSampler(0.031248040958633507,85);selectFwe(0.015780814002082585);pca(0.5524564862436645,False);extraTreesClassifier(28,'entropy','sqrt',3,8,True,'balanced_subsample')	0.26167875716145556	1.1880061626434326
varianceThreshold();minMaxScaler();randomForest(74,'gini','log2',9,9,True,'balanced')	0.4010048321319939	2.475562572479248
selectPercentile(77.52605735526805);linearSvc('l1','squared_hinge',True,0.004595921266876687,2.706282038351025,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();minMaxScaler();lda(0.9279155935926067,164,0.00928040045433655)	invalid_ind	invalid_ind
randomUnderSampler('not majority',False);multinomialNB(11.486299700734167,True)	0.1656051183392242	0.22087717056274414
smote('not minority',2);maxAbsScaler();varianceThreshold();extraTreesClassifier(82,'gini','sqrt',7,6,True,'balanced_subsample')	0.4067416985529427	3.5599284172058105
minMaxScaler();simpleImputer('mean');linearSvc('l2','squared_hinge',True,0.00011422133362409182,7.411002118197225,'None')	0.2065328916305444	3.867814302444458
varianceThreshold();maxAbsScaler();varianceThreshold();mlpClassifier(0.025376546344938484,0.00827563926220562,'lbfgs','logistic')	invalid_ind	invalid_ind
minMaxScaler();sgdClassifier('hinge',0.029476580583255994,1.9966076887570383e-07,4.536508790280638e-05,0.00040859503766740564,0.024862943246286982,0.011401776633302716,False,'None')	0.2134747589200982	0.3717975616455078
smoteTomek('minority');maxAbsScaler();multinomialNB(0.017498798206863366,False)	invalid_ind	invalid_ind
varianceThreshold();simpleImputer('median');minMaxScaler();extraTreesClassifier(24,'gini','log2',12,12,False,'None')	0.20610043043316142	0.5579609870910645
minMaxScaler();bernoulliNB(0.16128855145515109,False)	0.14622418331669612	0.23018598556518555
randomForest(65,'gini','log2',9,9,True,'balanced')	0.3993220173393644	2.200650691986084
rbfSampler(0.01899652435240794,85);selectFwe(0.026249622896048097);pca(0.5215927370633527,False);qda(0.6840102784652432)	0.1476190476190476	0.46376562118530273
normalizer('max');varianceThreshold();selectFwe(0.0028588220435033455);adaBoost(85,0.41782864910310535,'SAMME.R',2)	0.18727215958048976	3.859743118286133
minMaxScaler();simpleImputer('most_frequent');varianceThreshold();mlpClassifier(0.025376546344938484,0.0029641594792455656,'sgd','logistic')	0.1475111727538912	25.731380939483643
maxAbsScaler();maxAbsScaler();randomForest(12,'entropy','sqrt',2,4,True,'balanced')	invalid_ind	invalid_ind
selectPercentile(64.42111926843509);smoteTomek('minority');truncatedSVD(12,'randomized');gaussianNB(8.310051288702984e-05)	invalid_ind	invalid_ind
lda(0.32319441669405524,229,0.04315216822536452)	invalid_ind	invalid_ind
minMaxScaler();fastICA(85,'parallel',False,'cube');varianceThreshold();lda(0.5086259216745195,164,0.0011408655755286636)	invalid_ind	invalid_ind
selectPercentile(65.67636134096337);minMaxScaler();mlpClassifier(0.002706338544083907,0.0641469137118948,'adam','identity')	0.22478131154336417	2.6231675148010254
extraTreesClassifier(38,'gini','log2',16,7,False,'None')	0.24347654156115936	0.741462230682373
pca(0.9731310136676943,False);simpleImputer('mean');minMaxScaler();decisionTree('entropy',1.3921457483015087,19,0.623184922580478,5,'balanced')	0.16889301175015461	0.2784998416900635
randomUnderSampler('not majority',True);linearSvc('l1','hinge',True,0.002091962016675596,0.05012293158229501,'None')	invalid_ind	invalid_ind
featureAgglomeration(14,'cosine','ward');extraTreesClassifier(82,'gini','sqrt',7,6,False,'balanced_subsample')	invalid_ind	invalid_ind
randomUnderSampler('minority',False);extraTreesClassifier(82,'gini','log2',7,6,False,'balanced_subsample')	invalid_ind	invalid_ind
randomUnderSampler('not majority',False);extraTreesClassifier(82,'gini','sqrt',18,7,False,'balanced_subsample')	0.15502013208904836	1.0799405574798584
