pipeline	fitness	fit_time
randomOverSampler('not majority');selectFwe(0.0011833201262791179);randomOverSampler('minority');multinomialNB(5.393592794196853,False)	invalid_ind	invalid_ind
minMaxScaler();maxAbsScaler();randomForest(55,'gini','sqrt',18,17,False,'balanced')	0.8825297787861599	2.278683662414551
selectPercentile(31.000203555181255);pca(0.5269056871843034,False);rbfSampler(0.027609661590395584,87);mlpClassifier(0.0008238979374785674,0.015080637445306782,'sgd','relu')	0.4671015314804311	7.944773435592651
varianceThreshold();minMaxScaler();gaussianNB(4.5826055267176406e-05)	0.6256381168462848	1.46950364112854
truncatedSVD(235,'randomized');truncatedSVD(24,'arpack');sgdClassifier('perceptron',0.0008973362326304009,1.391303000680538e-09,0.00011005424289441064,0.001107600267701455,8.564992120724886e-05,0.982604371657156,False,'balanced')	invalid_ind	invalid_ind
selectFwe(0.0090660692920724);sgdClassifier('log',0.009494165646194876,5.709267488854124e-09,3.940439049003888e-05,0.002814601320748469,1.2681206606674672e-06,0.46271867199314853,True,'balanced')	0.8526375496313104	1.2114040851593018
sgdClassifier('squared_hinge',0.033047424265017424,3.7097834237681323e-09,0.0003443522942680713,0.0103630863629143,4.473040795165956e-06,0.8182508787913798,False,'None')	0.9169030062393647	1.0967457294464111
maxAbsScaler();smoteTomek('minority');varianceThreshold();gaussianNB(7.257062463511674e-09)	0.6256381168462848	35.881622552871704
linearSvc('l2','hinge',False,1.7552938935371965e-05,1.2620649067699083,'balanced')	invalid_ind	invalid_ind
varianceThreshold();multinomialNB(69.70802903937508,False)	0.9424844015882019	1.042832374572754
maxAbsScaler();logisticRegression('l1',True,1.110141547875711,'None')	invalid_ind	invalid_ind
varianceThreshold();varianceThreshold();adaBoost(82,1.6043529530385514,'SAMME',2)	invalid_ind	invalid_ind
maxAbsScaler();fastICA(85,'parallel',False,'cube');varianceThreshold();mlpClassifier(0.002706338544083907,0.0641469137118948,'lbfgs','identity')	invalid_ind	invalid_ind
selectPercentile(1.2528726565520507);maxAbsScaler();passiveAggressiveClassifier(False,'hinge',0.0038460780481039676)	0.9231990924560407	1.3640742301940918
knnImputer('mean','uniform',3);standardScaler(True,True);passiveAggressiveClassifier(False,'hinge',1.9592651772028111)	0.8500850822461713	3.0540950298309326
decisionTree('gini',0.8152977767959457,9,0.9266225519931816,3,'balanced')	0.5	0.44707369804382324
smote('not minority',4);simpleImputer('mean');passiveAggressiveClassifier(True,'hinge',0.2627903951143095)	0.9493477027793533	2.4083633422851562
extraTreesClassifier(38,'gini','log2',16,20,False,'None')	0.5	0.7623424530029297
simpleImputer('mean');normalizer('l1');knnImputer('median','distance',8);kNN(13,'distance',1)	0.9011344299489507	10.137901067733765
maxAbsScaler();linearSvc('l2','squared_hinge',True,0.029698795061349845,0.0736565978053462,'balanced')	0.9114577424844015	1.0164082050323486
varianceThreshold();pca(0.9074930525646585,True);minMaxScaler();varianceThreshold();gaussianNB(1.7646870233765247e-05)	invalid_ind	invalid_ind
gaussianNB(1.7654648791410543e-07)	0.7992626205331821	1.1283676624298096
normalizer('max');varianceThreshold();selectFwe(0.0020127175011516265);adaBoost(85,0.41782864910310535,'SAMME.R',2)	0.7958593306863302	2.796236276626587
minMaxScaler();varianceThreshold();kNN(14,'uniform',1)	0.5022121384004538	4.72210955619812
rbfSampler(0.0018285544755520626,72);fastICA(70,'parallel',False,'cube');decisionTree('entropy',1.1846570646476162,8,0.5695032247353241,8,'balanced')	0.4920022688598979	1.4946718215942383
smoteTomek('not majority');pca(0.6524261211521623,True);sgdClassifier('modified_huber',0.0003212072229344443,2.3855801027256314e-08,0.051472548577337816,2.9155912825975985e-05,0.02341066403557734,0.07156505130535648,False,'None')	0.9107770845150313	43.981905698776245
adaBoost(77,0.01547211348746591,'SAMME',3)	0.714690867838911	41.040021896362305
minMaxScaler();decisionTree('entropy',1.6638095346319077,14,0.36098169319726003,1,'None')	0.6592739648326716	1.026684284210205
featureAgglomeration(17,'euclidean','ward');pca(0.9335921742668052,False);linearSvc('l2','hinge',True,3.135608413399814e-05,0.029516965679194762,'balanced')	time_err	time_err
smote('minority',3);logisticRegression('l2',True,0.002735644687333726,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();knnImputer('median','uniform',8);maxAbsScaler();passiveAggressiveClassifier(True,'squared_hinge',0.005725291831598437)	invalid_ind	invalid_ind
maxAbsScaler();minMaxScaler();logisticRegression('l2',True,0.0015205179103792497,'None')	invalid_ind	invalid_ind
nystroem('sigmoid',0.008320512311057238,10,4,0.5886391219601002);maxAbsScaler();truncatedSVD(89,'arpack');gaussianNB(7.454678231523024e-05)	0.5	0.6034767627716064
randomUnderSampler('minority',False);robustScaler(False,False);standardScaler(True,True);adaBoost(40,0.04574991523591372,'SAMME',6)	invalid_ind	invalid_ind
minMaxScaler();minMaxScaler();selectFwe(0.0015566941453202315);extraTreesClassifier(33,'gini','sqrt',14,1,False,'balanced_subsample')	invalid_ind	invalid_ind
maxAbsScaler();randomUnderSampler('not majority',False);varianceThreshold();minMaxScaler();mlpClassifier(0.00044011705707039053,0.0028521216623423338,'sgd','tanh')	0.8920589903573454	101.10978484153748
truncatedSVD(19,'arpack');selectFwe(0.0017787823078816067);multinomialNB(0.047677720102659235,False)	invalid_ind	invalid_ind
maxAbsScaler();kNN(27,'uniform',2)	0.611174134997164	8.854112386703491
maxAbsScaler();sgdClassifier('perceptron',0.02040163187766405,2.8275794054899348e-05,0.001082267597369242,0.0007985608052064328,0.0005259357155733542,0.14795098165800075,False,'None')	0.8528644356211004	1.389284372329712
mlpClassifier(0.00044514641861780855,0.09608929769421068,'lbfgs','logistic')	0.9343732274532048	78.69466519355774
varianceThreshold();maxAbsScaler();bernoulliNB(10.154759909088018,False)	0.5292682926829269	1.457995891571045
varianceThreshold();minMaxScaler();extraTreesClassifier(28,'entropy','sqrt',3,8,True,'balanced_subsample')	0.8034032898468519	1.5871801376342773
decisionTree('gini',0.38472582631925367,4,0.17804404706416754,19,'balanced')	0.5	0.45209741592407227
varianceThreshold();minMaxScaler();maxAbsScaler();randomForest(12,'entropy','sqrt',2,4,True,'balanced')	0.8844015882019285	1.5558714866638184
extraTreesClassifier(88,'entropy','sqrt',5,20,False,'balanced')	0.7764605785592739	1.5307343006134033
smote('not minority',2);varianceThreshold();passiveAggressiveClassifier(False,'hinge',1.2527049495670804e-05)	0.9493477027793533	1.7117805480957031
smote('not minority',2);randomUnderSampler('not minority',True);pca(0.9657781070329488,False);randomForest(88,'entropy','sqrt',10,14,False,'balanced')	0.7875212705615426	12.19975233078003
selectPercentile(24.20035607768793);minMaxScaler();lda(0.5086259216745195,164,0.0011408655755286636)	invalid_ind	invalid_ind
smoteTomek('minority');bernoulliNB(3.230785962238863,True)	0.853998865570051	34.89921593666077
varianceThreshold();varianceThreshold();kNN(24,'distance',1)	invalid_ind	invalid_ind
robustScaler(False,False);nystroem('cosine',0.02252130068601938,15,4,-0.11397049258518588);minMaxScaler();lda(0.08869211237699093,19,0.03199601545313396)	invalid_ind	invalid_ind
randomForest(95,'gini','sqrt',15,2,True,'None')	0.9152013613159387	3.320866584777832
kNN(44,'uniform',1)	0.7102098695405559	8.493992805480957
rbfSampler(0.031248040958633507,85);selectFwe(0.026249622896048097);pca(0.5524564862436645,False);randomForest(74,'gini','log2',9,9,True,'balanced')	invalid_ind	invalid_ind
selectPercentile(43.8581873713618);randomUnderSampler('not minority',True);varianceThreshold();extraTreesClassifier(67,'gini','sqrt',4,15,False,'None')	0.8319909245604084	2.355191469192505
smoteTomek('not majority');maxAbsScaler();sgdClassifier('hinge',0.029476580583255994,1.9966076887570383e-07,0.0002115904549084885,4.140271830178362e-05,0.024862943246286982,0.011401776633302716,False,'None')	0.9091321610890526	36.86639142036438
smote('not majority',5);maxAbsScaler();adaBoost(34,1.526006382490699,'SAMME',5)	0.8997163925127623	25.708319187164307
adaBoost(60,0.029756168149120167,'SAMME.R',2)	0.8621667612024957	32.136754274368286
varianceThreshold();maxAbsScaler();featureAgglomeration(16,'manhattan','ward');minMaxScaler();decisionTree('entropy',0.640713939937847,11,0.7523384530401243,3,'None')	invalid_ind	invalid_ind
qda(0.6661841391556531)	0.4687464549064095	9.859384059906006
selectPercentile(64.42111926843509);smoteTomek('minority');truncatedSVD(12,'arpack');logisticRegression('l2',False,0.0448925238545551,'balanced')	0.6569483834373228	15.55849814414978
minMaxScaler();simpleImputer('mean');varianceThreshold();mlpClassifier(0.025376546344938484,0.00827563926220562,'sgd','logistic')	0.8933635847986385	100.59559297561646
varianceThreshold();smoteTomek('not minority');logisticRegression('l1',True,0.1019945250177849,'None')	invalid_ind	invalid_ind
truncatedSVD(65,'arpack');minMaxScaler();maxAbsScaler();mlpClassifier(0.011892064373054385,0.0026791691063095414,'lbfgs','tanh')	0.6660238230289279	2.472034454345703
logisticRegression('l1',False,0.0002956623040639249,'None')	invalid_ind	invalid_ind
maxAbsScaler();sgdClassifier('hinge',0.03968989316818791,2.4908606714131184e-05,0.02767032116129565,1.1804413818473912e-05,0.0008105624708465149,0.9162302848894605,False,'None')	0.9090187180941577	1.4829087257385254
rbfSampler(0.0014720327796837436,53);selectPercentile(69.96830343743667);kNN(13,'uniform',2)	0.4374361883153715	1.0413665771484375
maxAbsScaler();maxAbsScaler();logisticRegression('l1',True,0.5146576618928022,'None')	invalid_ind	invalid_ind
varianceThreshold();maxAbsScaler();linearSvc('l2','squared_hinge',True,0.00011422133362409182,7.411002118197225,'balanced')	0.9091321610890526	1.3609704971313477
maxAbsScaler();featureAgglomeration(11,'euclidean','complete');linearSvc('l1','squared_hinge',False,0.038138255532471965,0.5302814836689809,'balanced')	0.6769143505388542	341.49114632606506
minMaxScaler();multinomialNB(9.428184156551863,False)	0.7268292682926829	0.920172929763794
minMaxScaler();maxAbsScaler();smoteTomek('minority');gaussianNB(2.3180908638629435e-06)	0.6256381168462848	36.12711834907532
minMaxScaler();varianceThreshold();extraTreesClassifier(33,'gini','sqrt',17,5,False,'balanced_subsample')	0.9056721497447532	1.9574551582336426
varianceThreshold();simpleImputer('median');minMaxScaler();bernoulliNB(87.32778218101154,False)	0.5	2.5479676723480225
minMaxScaler();adaBoost(43,0.8544155604638245,'SAMME',3)	0.923766307430516	23.249902963638306
lda(0.6517134697902598,49,0.003962106233731867)	invalid_ind	invalid_ind
randomUnderSampler('minority',True);fastICA(38,'deflation',False,'cube');decisionTree('entropy',0.18943536033787978,17,0.040526182344984285,6,'balanced')	invalid_ind	invalid_ind
sgdClassifier('modified_huber',3.7322251735351336e-06,9.56188226804542e-08,0.004795940916275924,1.9673525758152695e-05,1.6733166710542763e-06,0.029027802758883215,False,'balanced')	0.918321043675553	1.1408731937408447
varianceThreshold();kNN(17,'uniform',2)	0.8663641520136132	4.340679883956909
varianceThreshold();standardScaler(False,True);varianceThreshold();maxAbsScaler();qda(0.7281341760486262)	invalid_ind	invalid_ind
maxAbsScaler();randomUnderSampler('minority',True);minMaxScaler();passiveAggressiveClassifier(True,'squared_hinge',4.178555960354946)	invalid_ind	invalid_ind
extraTreesClassifier(95,'entropy','log2',15,13,True,'None')	0.5	1.431450605392456
featureAgglomeration(7,'manhattan','ward');smote('not majority',5);qda(0.06926826342968406)	invalid_ind	invalid_ind
