pipeline	fitness	fit_time
smote('not majority',5);passiveAggressiveClassifier(False,'hinge',0.0036742618742699857)	invalid_ind	invalid_ind
featureAgglomeration(15,'manhattan','average');randomOverSampler('minority');adaBoost(90,0.25237763891326703,'SAMME',9)	invalid_ind	invalid_ind
maxAbsScaler();minMaxScaler();varianceThreshold();sgdClassifier('squared_hinge',6.0551766755772844e-05,0.4044707756122131,0.0011988651684115346,1.0634756489158749e-05,1.5355226410385686e-06,0.41046772272763543,False,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();varianceThreshold();adaBoost(62,1.295858809307659,'SAMME',3)	invalid_ind	invalid_ind
decisionTree('gini',1.240252270890524,18,0.27130063199394605,8,'None')	invalid_ind	invalid_ind
rbfSampler(0.06592905025989855,55);rbfSampler(0.554681245185585,12);extraTreesClassifier(50,'gini','log2',7,11,True,'balanced_subsample')	invalid_ind	invalid_ind
truncatedSVD(21,'randomized');smoteTomek('minority');selectFwe(0.004332900709189366);gaussianNB(8.596376465191797e-09)	invalid_ind	invalid_ind
minMaxScaler();decisionTree('entropy',0.07108852148968547,15,0.15599785893835916,1,'None')	invalid_ind	invalid_ind
truncatedSVD(23,'arpack');randomOverSampler('minority');smote('not majority',2);lda(0.41375044772957725,241,0.0002457240194623324)	invalid_ind	invalid_ind
multinomialNB(27.273179323919344,False)	invalid_ind	invalid_ind
varianceThreshold();minMaxScaler();kNN(1,'uniform',1)	invalid_ind	invalid_ind
varianceThreshold();varianceThreshold();knnImputer('median','distance',10);multinomialNB(0.34108734608404667,True)	invalid_ind	invalid_ind
varianceThreshold();varianceThreshold();nystroem('poly',4.444996643776645e-05,23,4,0.12768790918545903);qda(0.7743040203204269)	invalid_ind	invalid_ind
decisionTree('gini',1.3470695388603375,11,0.5790764190210559,3,'balanced')	invalid_ind	invalid_ind
robustScaler(False,False);pca(0.5416219173694012,True);robustScaler(False,True);passiveAggressiveClassifier(False,'squared_hinge',2.8810163108819156)	invalid_ind	invalid_ind
varianceThreshold();lda(0.691132407918829,245,0.005255903187940267)	invalid_ind	invalid_ind
nystroem('poly',0.4156018313741125,71,3,-0.06389408438627409);randomUnderSampler('not majority',False);decisionTree('entropy',1.8217856769204364,9,0.6482498624748614,3,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();minMaxScaler();qda(0.3566610846844087)	invalid_ind	invalid_ind
truncatedSVD(75,'randomized');selectFwe(0.031067851647048568);fastICA(35,'parallel',True,'exp');mlpClassifier(0.0005932745341663841,0.10295353043910836,'adam','tanh')	invalid_ind	invalid_ind
minMaxScaler();varianceThreshold();randomOverSampler('not majority');minMaxScaler();multinomialNB(13.179452879754452,False)	invalid_ind	invalid_ind
varianceThreshold();simpleImputer('most_frequent');robustScaler(True,False);passiveAggressiveClassifier(True,'hinge',2.7095378360753117)	0.5197428784807426	1.6168158054351807
maxAbsScaler();passiveAggressiveClassifier(True,'squared_hinge',0.054652743676893774)	invalid_ind	invalid_ind
varianceThreshold();maxAbsScaler();selectFwe(0.004710173160230179);kNN(2,'uniform',2)	invalid_ind	invalid_ind
smoteTomek('minority');minMaxScaler();featureAgglomeration(8,'cosine','ward');multinomialNB(0.6856644627027094,True)	invalid_ind	invalid_ind
minMaxScaler();selectPercentile(46.078799369294245);varianceThreshold();lda(0.1100693539431793,44,0.0008827355112847766)	invalid_ind	invalid_ind
maxAbsScaler();pca(0.956252669339332,True);varianceThreshold();bernoulliNB(2.768770954125306,False)	invalid_ind	invalid_ind
fastICA(89,'parallel',False,'logcosh');logisticRegression('l2',False,7.207352214468259,'None')	invalid_ind	invalid_ind
normalizer('l2');minMaxScaler();linearSvc('l2','hinge',False,0.08958653547092578,0.0002287470718936692,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();fastICA(32,'parallel',True,'cube');maxAbsScaler();randomForest(19,'gini','log2',5,11,True,'balanced_subsample')	invalid_ind	invalid_ind
extraTreesClassifier(46,'gini','sqrt',19,17,False,'None')	invalid_ind	invalid_ind
smoteTomek('not majority');rbfSampler(0.9263334352861322,61);rbfSampler(0.017985759031019836,66);decisionTree('gini',0.6831323108993361,8,0.4845412876725472,3,'None')	invalid_ind	invalid_ind
normalizer('l1');randomUnderSampler('not majority',True);linearSvc('l2','squared_hinge',False,0.0010806156608410375,0.0003996927868840336,'None')	invalid_ind	invalid_ind
logisticRegression('l2',False,0.040924917757908276,'balanced')	invalid_ind	invalid_ind
featureAgglomeration(22,'manhattan','ward');minMaxScaler();logisticRegression('l2',False,1.9311951716656715,'None')	invalid_ind	invalid_ind
minMaxScaler();selectPercentile(96.97038576477863);kNN(3,'distance',2)	invalid_ind	invalid_ind
truncatedSVD(53,'arpack');maxAbsScaler();decisionTree('gini',0.5591867121550191,7,0.045362234242608435,16,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();pca(0.7262127851962314,True);minMaxScaler();lda(0.45892380126808485,150,0.00018497587160512017)	invalid_ind	invalid_ind
maxAbsScaler();minMaxScaler();extraTreesClassifier(33,'entropy','log2',12,2,False,'balanced')	invalid_ind	invalid_ind
qda(0.22975203362694752)	invalid_ind	invalid_ind
randomUnderSampler('not minority',False);extraTreesClassifier(32,'gini','log2',7,5,False,'None')	invalid_ind	invalid_ind
minMaxScaler();sgdClassifier('hinge',7.448680598818629e-06,1.2386136506783467e-09,1.492119795954643e-05,0.038512027281996444,4.143519667479422e-07,0.3898712328891275,True,'balanced')	invalid_ind	invalid_ind
minMaxScaler();minMaxScaler();passiveAggressiveClassifier(False,'hinge',0.0016217307130498187)	invalid_ind	invalid_ind
minMaxScaler();truncatedSVD(135,'randomized');gaussianNB(7.243559911354961e-06)	invalid_ind	invalid_ind
varianceThreshold();truncatedSVD(18,'randomized');maxAbsScaler();varianceThreshold();bernoulliNB(0.012206867386558677,True)	invalid_ind	invalid_ind
smoteTomek('minority');linearSvc('l1','squared_hinge',False,0.0008935531187093284,0.17938274300919646,'None')	invalid_ind	invalid_ind
pca(0.5730843650233082,False);selectPercentile(21.494290124052426);minMaxScaler();adaBoost(56,0.1377054551513494,'SAMME.R',8)	invalid_ind	invalid_ind
randomUnderSampler('not minority',False);varianceThreshold();lda(0.43234882195342383,161,2.924269937303722e-05)	invalid_ind	invalid_ind
varianceThreshold();minMaxScaler();randomForest(84,'gini','log2',8,13,True,'balanced')	invalid_ind	invalid_ind
passiveAggressiveClassifier(True,'squared_hinge',0.005100057796245229)	invalid_ind	invalid_ind
rbfSampler(0.003994045950081818,77);varianceThreshold();linearSvc('l1','hinge',True,0.0012331399451574352,0.022820627936724187,'balanced')	invalid_ind	invalid_ind
pca(0.8469930223864786,False);maxAbsScaler();truncatedSVD(10,'arpack');decisionTree('entropy',1.1968924632599218,15,0.5977707145902543,10,'None')	invalid_ind	invalid_ind
varianceThreshold();smoteTomek('minority');qda(0.3213386469159385)	invalid_ind	invalid_ind
maxAbsScaler();selectFwe(0.033701587304934305);randomForest(93,'entropy','sqrt',15,18,True,'balanced_subsample')	invalid_ind	invalid_ind
truncatedSVD(14,'randomized');nystroem('cosine',0.00011017978051527286,74,3,-0.7616892740012657);passiveAggressiveClassifier(False,'squared_hinge',1.0098819804666455)	invalid_ind	invalid_ind
qda(0.6816365732705835)	invalid_ind	invalid_ind
varianceThreshold();maxAbsScaler();linearSvc('l1','hinge',True,0.005359479914159661,0.5808129584115485,'balanced')	invalid_ind	invalid_ind
normalizer('l2');minMaxScaler();kNN(2,'distance',2)	invalid_ind	invalid_ind
qda(0.42774586184682184)	invalid_ind	invalid_ind
varianceThreshold();varianceThreshold();multinomialNB(10.825728740732577,False)	invalid_ind	invalid_ind
multinomialNB(0.09833731615679964,True)	invalid_ind	invalid_ind
fastICA(55,'deflation',False,'exp');bernoulliNB(63.44431177660402,False)	invalid_ind	invalid_ind
logisticRegression('l1',True,1.0901412398507178,'None')	invalid_ind	invalid_ind
minMaxScaler();minMaxScaler();logisticRegression('l1',True,2.370886915493288,'balanced')	invalid_ind	invalid_ind
logisticRegression('l2',False,0.10353268944608915,'None')	invalid_ind	invalid_ind
varianceThreshold();multinomialNB(4.442346102030914,False)	invalid_ind	invalid_ind
minMaxScaler();minMaxScaler();adaBoost(70,0.04282352284044067,'SAMME',4)	invalid_ind	invalid_ind
smoteTomek('not minority');varianceThreshold();logisticRegression('l2',False,0.0017726529410686997,'balanced')	invalid_ind	invalid_ind
minMaxScaler();knnImputer('median','distance',5);logisticRegression('l1',False,0.02799741963000098,'balanced')	invalid_ind	invalid_ind
