pipeline	fitness	fit_time
sgdClassifier('hinge',0.07680709061487546,5.346523013199314e-08,0.02057875693994848,8.556938634362398e-05,2.604893530782609e-06,0.3449828711932877,True,'None')	0.5	0.22353601455688477
normalizer('l1');passiveAggressiveClassifier(False,'hinge',0.013941735316956487)	0.5	0.18204474449157715
maxAbsScaler();linearSvc('l2','hinge',False,0.0001508898444213308,0.00015325308106524396,'None')	invalid_ind	invalid_ind
logisticRegression('l2',False,0.16801790886467863,'None')	0.6638770633160878	0.49999284744262695
maxAbsScaler();selectFwe(0.002972925040482669);nystroem('poly',0.022540387225872843,12,5,0.4935966659062956);extraTreesClassifier(55,'entropy','log2',13,16,False,'balanced')	0.6813508253264351	0.7880661487579346
rbfSampler(0.0018984564041181265,94);adaBoost(51,0.3977644090333153,'SAMME.R',6)	0.495840477950234	2.6150734424591064
maxAbsScaler();varianceThreshold();passiveAggressiveClassifier(False,'hinge',0.12285953969852288)	0.661808819906381	0.19416451454162598
simpleImputer('median');normalizer('l2');varianceThreshold();gaussianNB(1.8676497376294674e-09)	0.5726318058635133	0.19841957092285156
randomForest(10,'entropy','log2',15,14,True,'None')	0.5489818920916483	0.29407548904418945
varianceThreshold();minMaxScaler();lda(0.2518553627492188,195,3.1091945849681344e-05)	invalid_ind	invalid_ind
maxAbsScaler();maxAbsScaler();normalizer('l2');passiveAggressiveClassifier(True,'hinge',0.00022918730862530554)	invalid_ind	invalid_ind
maxAbsScaler();varianceThreshold();robustScaler(False,False);lda(0.9055009648174798,148,0.007897944552451908)	invalid_ind	invalid_ind
maxAbsScaler();maxAbsScaler();logisticRegression('l2',False,0.0007294524419332403,'balanced')	invalid_ind	invalid_ind
pca(0.5277149462280878,False);standardScaler(False,False);smoteTomek('not majority');lda(0.27537273471351176,146,0.006805628430010642)	invalid_ind	invalid_ind
selectPercentile(52.67889733172214);rbfSampler(0.0017434755704262412,31);mlpClassifier(0.08003712624187492,0.0011481689790616221,'lbfgs','tanh')	0.4679183296378418	5.539705514907837
normalizer('l2');knnImputer('most_frequent','uniform',4);maxAbsScaler();randomForest(74,'gini','log2',16,7,False,'balanced_subsample')	0.700209534368071	1.1716523170471191
qda(0.8129303551980737)	0.6193556294653856	0.26665520668029785
minMaxScaler();smote('not minority',2);lda(0.35782267122963185,55,0.05174770827856049)	invalid_ind	invalid_ind
selectFwe(0.00567373836071261);featureAgglomeration(24,'euclidean','ward');truncatedSVD(124,'randomized');gaussianNB(6.690738284200598e-07)	invalid_ind	invalid_ind
normalizer('max');randomOverSampler('not minority');randomForest(91,'gini','log2',3,13,False,'None')	0.5554818920916482	1.2470011711120605
minMaxScaler();standardScaler(True,False);minMaxScaler();minMaxScaler();logisticRegression('l2',True,0.011307223213639852,'None')	invalid_ind	invalid_ind
smoteTomek('not minority');randomForest(57,'gini','log2',10,17,False,'balanced_subsample')	0.6898343187977335	0.7984795570373535
smote('minority',3);sgdClassifier('modified_huber',0.007767029592609034,1.9558902090063612e-08,0.00020837954528957434,1.1492884245178683e-05,0.00017734302559951535,0.03010909271053075,False,'None')	0.504020202020202	0.26131319999694824
robustScaler(False,True);truncatedSVD(36,'arpack');logisticRegression('l2',True,0.03057155536041458,'balanced')	invalid_ind	invalid_ind
featureAgglomeration(13,'cosine','complete');nystroem('cosine',0.03652054953690661,70,4,0.09442557859160794);featureAgglomeration(16,'manhattan','complete');qda(0.5147941217925118)	invalid_ind	invalid_ind
normalizer('l1');selectPercentile(36.82735842927344);fastICA(51,'deflation',True,'logcosh');lda(0.21347625057626707,56,0.06649828223475401)	invalid_ind	invalid_ind
varianceThreshold();truncatedSVD(211,'randomized');multinomialNB(0.013753052996320594,False)	invalid_ind	invalid_ind
